text,intent
Cours de Apple,price
Cours de Microsoft,price
Cours de Nvidia,price
Cours de Tesla,price
Cours de TotalEnergies,price
Cours de Air Liquide,price
Prix de Apple,price
Prix de Microsoft,price
Valeur actuelle de Apple,price
Apple ça cote combien ?,price
Entre Apple et Microsoft sur 6 mois,compare
Comparatif Apple Microsoft sur 6 mois,compare
Donne-moi le prix de Apple,price
Donne-moi le prix de Microsoft,price
Quel est le prix de AAPL,price
Quel est le cours de Tesla,price
Donne-moi le dernier prix de Nvidia,price
Combien vaut Apple aujourd'hui,price
Quel est le cours de Microsoft,price
Prix de TSLA,price
Price of Apple stock,price
What's the price of Nvidia,price
Donne-moi le cours de Amazon,price
Quel est le prix de Meta,price
Combien vaut Microsoft en ce moment,price
Cours de NVDA,price
Price of Tesla,price
Quote for MSFT,price
How much is Apple stock,price
Donne-moi le prix de LVMH,price
Quel est le cours de Air Liquide,price
Prix de BNP Paribas,price
Donne-moi le prix de Google,price
Quel est le prix de Amazon aujourd'hui,price
Donne-moi le prix de Nvidia maintenant,price
Quel est le cours de Meta aujourd'hui,price
Combien vaut Tesla en ce moment,price
Donne-moi le prix de GOOGL,price
Quel est le cours de AMZN,price
Combien vaut NVDA aujourd'hui,price
Price of Microsoft,price
Price of Amazon stock,price
What is the price of Tesla,price
Quote for Nvidia,price
How much is Meta stock,price
Donne-moi le prix de Hermès,price
Quel est le cours de TotalEnergies,price
Prix de Société Générale,price
Cours de SAP,price
Donne-moi le prix de ASML,price
Combien vaut Tesla,price
Apple ça vaut combien,price
Microsoft aujourd'hui ça cote combien,price
Nvidia aujourd'hui combien,price
Amazon ça vaut quoi aujourd'hui,price
Tesla combien aujourd'hui,price
Meta combien ça vaut,price
Google combien aujourd'hui,price
Donne-moi le prix de Apple stp,price
Je veux le prix de Microsoft,price
Tu peux me donner le cours de Tesla ?,price
Montre-moi le prix de Nvidia,price
J’aimerais connaître le prix de Amazon,price
Peux-tu me dire combien vaut Apple aujourd’hui ?,price
Donne-moi le cours de Meta stp,price
Je veux savoir combien cote Google,price
Tu peux me sortir le prix de Tesla maintenant ?,price
Dis-moi le prix de Microsoft aujourd’hui,price
Apple ça vaut combien là ?,price
Je veux le dernier prix de Nvidia,price
Montre-moi combien vaut Amazon en ce moment,price
Tu peux me dire le cours de AAPL ?,price
J’aimerais le prix de MSFT,price
Donne-moi le prix de GOOGL stp,price
Je veux savoir le cours de NVDA,price
Peux-tu me donner le prix de Tesla en bourse ?,price
Montre-moi le cours de Meta aujourd’hui,price
